學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定,比序
113,國立臺灣大學,00101,中國文學系,False,6,6.0,4.0,4.0,2.0,3.0,頂標,前標,均標,均標,前標,,,"[{'name': '在校學業', 'r1': '4%', 'r2': '3%'}, {'name': '在校學業', 'r1': '12%', 'r2': '1%'}]"
113,國立臺灣大學,00102,外國語文學系,False,16,16.0,14.0,12.0,2.0,1.0,前標,頂標,均標,均標,前標,,A級,"[{'name': '在校學業', 'r1': '12%', 'r2': '1%'}, {'name': '在校學業', 'r1': '8%', 'r2': '3%'}]"
113,國立臺灣大學,00103,歷史學系,False,6,6.0,4.0,8.0,2.0,3.0,前標,前標,,均標,前標,,A級,"[{'name': '在校學業', 'r1': '8%', 'r2': '3%'}, {'name': '學測國英社', 'r1': None, 'r2': '43'}, {'name': '學測英文', 'r1': None, 'r2': '14'}, {'name': '學測社會', 'r1': None, 'r2': '15'}, {'name': '學測國文', 'r1': None, 'r2': '14'}, {'name': '歷史學業', 'r1': None, 'r2': '1%'}, {'name': '國語文學業', 'r1': None, 'r2': '2%'}, {'name': '在校學業', 'r1': '4%', 'r2': '5%'}]"
113,國立臺灣大學,00104,哲學系,False,5,5.0,1.0,4.0,4.0,1.0,前標,前標,前標,前標,均標,,,"[{'name': '國語文學業', 'r1': None, 'r2': '2%'}, {'name': '在校學業', 'r1': '4%', 'r2': '5%'}, {'name': '學測國英社', 'r1': None, 'r2': '42'}]"
113,國立臺灣大學,00105,人類學系,False,6,6.0,3.0,6.0,3.0,2.0,前標,前標,,均標,前標,,B級,"[{'name': '在校學業', 'r1': '6%', 'r2': '2%'}]"
113,國立臺灣大學,00105,人類學系【外加】,True,1,0.0,,,,,前標,前標,,均標,前標,,B級,"[{'name': '在校學業', 'r1': '6%', 'r2': None}]"
113,國立臺灣大學,00106,圖書資訊學系,False,7,7.0,7.0,6.0,,,前標,前標,均標,均標,均標,,B級,"[{'name': '在校學業', 'r1': '6%', 'r2': None}, {'name': '在校學業', 'r1': '4%', 'r2': None}]"
113,國立臺灣大學,00107,日本語文學系,False,7,7.0,7.0,4.0,,,前標,前標,,均標,前標,,,"[{'name': '在校學業', 'r1': '4%', 'r2': None}, {'name': '在校學業', 'r1': '8%', 'r2': '6%'}]"
113,國立臺灣大學,00108,戲劇學系,False,4,4.0,2.0,8.0,2.0,6.0,前標,前標,,均標,均標,,,"[{'name': '在校學業', 'r1': '8%', 'r2': '6%'}]"
113,國立臺灣大學,00109,地理環境資源學系,False,4,2.0,,,2.0,10.0,,前標,頂標,,前標,,,"[{'name': '在校學業', 'r1': None, 'r2': '10%'}]"
